Airline,Month,Passengers
B6,7,3985117.0
B6,8,3954588.0
B6,9,3231264.0
B6,10,3405740.0
B6,11,3421201.0
B6,12,3579497.0
BA,1,968084.0
BA,2,834446.0
BA,3,1107350.0
BA,4,1197270.0
BA,5,1303892.0
BA,6,1355441.0
BA,7,1376660.0
BA,8,1322498.0
BA,9,1227124.0
BA,10,1307851.0
BA,11,1091166.0
BA,12,1092903.0
BCQ,2,1707.0
BCQ,3,1976.0
BCQ,4,415.0
BCQ,5,186.0
BCQ,7,250.0
BF,5,6921.0
BF,6,13897.0
BF,7,16977.0
BF,8,18828.0
BF,9,16306.0
BF,10,16811.0
BF,11,12175.0
BF,12,15694.0
BR,1,176476.0
BR,2,149802.0
BR,3,168579.0
BR,4,157465.0
BR,5,165349.0
BR,6,170315.0
BR,7,174850.0
BR,8,179618.0
BR,9,157465.0
BR,10,157465.0
BR,11,161452.0
BR,12,164835.0
BW,1,100768.0
BW,2,90982.0
BW,3,92442.0
BW,4,99135.0
BW,5,90080.0
BW,6,99294.0
BW,7,114586.0
BW,8,134293.0
BW,9,83263.0
BW,10,80128.0
BW,11,98110.0
BW,12,113145.0
BX,1,6152.0
BX,2,5515.0
BX,3,5679.0
BX,4,6729.0
BX,5,7204.0
BX,6,7125.0
BX,7,7407.0
BX,8,7405.0
BX,9,5802.0
BX,10,6567.0
BX,11,5953.0
BX,12,9239.0
BY,3,2946.0
BY,4,16747.0
BY,5,22514.0
BY,6,23934.0
BY,7,25666.0
BY,8,25817.0
BY,9,21688.0
BY,10,21767.0
BY,11,7707.0
C5,1,102373.0
C5,2,103989.0
C5,3,136216.0
C5,4,146826.0
C5,5,153468.0
C5,6,179151.0
C5,7,173706.0
C5,8,179614.0
C5,9,170926.0
C5,10,187990.0
C5,11,170984.0
C5,12,171904.0
C8,1,0.0
C8,2,0.0
C8,3,0.0
C8,4,0.0
C8,5,0.0
C8,6,0.0
C8,7,0.0
C8,8,0.0
C8,9,0.0
C8,10,0.0
C8,11,0.0
C8,12,0.0
CA,1,129482.0
CA,2,111379.0
CA,3,130989.0
CA,4,140300.0
CA,5,150719.0
CA,6,140988.0
CA,7,150653.0
CA,8,158359.0
CA,9,140978.0
CA,10,139874.0
CA,11,130701.0
CA,12,138757.0
CAZ,1,19.0
CAZ,2,10.0
CAZ,3,6.0
CAZ,4,10.0
CAZ,5,23.0
CAZ,6,26.0
CAZ,7,22.0
CAZ,8,17.0
CAZ,9,11.0
CAZ,10,19.0
CAZ,11,25.0
CAZ,12,23.0
CC,1,0.0
CC,2,0.0
CC,3,0.0
CC,4,0.0
CC,5,0.0
CC,6,0.0
CC,7,0.0
CC,8,0.0
CC,9,0.0
CC,10,0.0
CC,11,0.0
CC,12,0.0
CH,1,0.0
CH,2,0.0
CH,3,0.0
CH,4,0.0
CH,5,0.0
CH,6,0.0
CH,7,0.0
CH,8,0.0
CH,9,0.0
CH,10,0.0
CH,11,0.0
CH,12,0.0
CI,1,78676.0
CI,2,70341.0
CI,3,73508.0
CI,4,66625.0
CI,5,68286.0
CI,6,71795.0
CI,7,74896.0
CI,8,74878.0
CI,9,63052.0
CI,10,68279.0
CI,11,69513.0
CI,12,70354.0
CK,1,0.0
CK,2,0.0
CK,3,0.0
CK,4,0.0
CK,5,0.0
CK,6,0.0
CK,7,0.0
CK,8,0.0
CK,9,0.0
CK,10,0.0
CK,11,0.0
CK,12,0.0
CM,1,232036.0
CM,2,210179.0
CM,3,238346.0
CM,4,224343.0
CM,5,240086.0
CM,6,256760.0
CM,7,284629.0
CM,8,266849.0
CM,9,228452.0
CM,10,228436.0
CM,11,233203.0
CM,12,263721.0
CP,1,485291.0
CP,2,463917.0
CP,3,578781.0
CP,4,544856.0
CP,5,572431.0
CP,6,574762.0
CP,7,608140.0
CP,8,620848.0
CP,9,539538.0
CP,10,566328.0
CP,11,550437.0
CP,12,563691.0
CRV,1,12.0
CRV,2,10.0
CRV,3,9.0
CRV,4,8.0
CRV,5,14.0
CRV,6,10.0
CRV,7,25.0
CRV,8,13.0
CRV,10,8.0
CRV,11,10.0
CRV,12,7.0
CV,1,0.0
CV,2,0.0
CV,3,0.0
CV,4,0.0
CV,5,0.0
CV,6,0.0
CV,7,0.0
CV,8,0.0
CV,9,0.0
CV,10,0.0
CV,11,0.0
CV,12,0.0
CX,1,190495.0
CX,2,158335.0
CX,3,186948.0
CX,4,178812.0
CX,5,201192.0
CX,6,192163.0
CX,7,205913.0
CX,8,200854.0
CX,9,159615.0
CX,10,186511.0
CX,11,186726.0
CX,12,191252.0
CZ,1,77770.0
CZ,2,65352.0
