Airline,Airport,Route_Type,Destination_Region,Passengers
OO,PDX,Domestic,Domestic,371387.0
DL,SJU,Domestic,Domestic,369906.0
B6,ATL,Domestic,Domestic,369179.0
AA,CDG,International,International,367677.0
F9,RDU,Domestic,Domestic,367361.0
B6,BOS,International,Domestic,366589.0
DL,IAD,Domestic,Domestic,360518.0
AV,MIA,International,Domestic,359503.0
B6,JAX,Domestic,Domestic,358760.0
DL,YYZ,International,International,358744.0
YV,ABQ,Domestic,Domestic,356836.0
AA,IAD,Domestic,Domestic,356479.0
B6,SLC,Domestic,Domestic,355329.0
DL,SMF,Domestic,Domestic,354965.0
SK,CPH,International,International,354400.0
AA,OGG,Domestic,Domestic,353721.0
VS,LAX,International,Domestic,353334.0
AS,SJD,International,International,352900.0
OO,TUS,Domestic,Domestic,352819.0
AX,DCA,Domestic,Domestic,351766.0
DL,PNS,Domestic,Domestic,351743.0
VS,MAN,International,International,349509.0
WN,CHS,Domestic,Domestic,347674.0
AM,LAX,International,Domestic,347137.0
WN,CLT,Domestic,Domestic,346827.0
YX,BOS,Domestic,Domestic,345729.0
BW,JFK,International,Domestic,344290.0
AS,OAK,Domestic,Domestic,344244.0
BA,IAD,International,Domestic,344232.0
JJ,MIA,International,Domestic,343942.0
BA,LGW,International,International,343790.0
F9,PHX,Domestic,Domestic,341034.0
AA,EZE,International,International,339325.0
AA,TUL,Domestic,Domestic,334503.0
WN,LGB,Domestic,Domestic,334225.0
WN,ORF,Domestic,Domestic,333342.0
UA,PEK,International,International,333053.0
DL,GSP,Domestic,Domestic,332718.0
DL,SDF,Domestic,Domestic,332649.0
TP,LIS,International,International,330299.0
RV,MCO,International,Domestic,330118.0
DY,LAX,International,Domestic,329380.0
DL,SRQ,Domestic,Domestic,328432.0
NK,SAN,Domestic,Domestic,327863.0
UA,BNA,Domestic,Domestic,327138.0
MQ,DFW,International,Domestic,326633.0
QX,BOI,Domestic,Domestic,324718.0
DY,CDG,International,International,324528.0
AA,MEM,Domestic,Domestic,323553.0
YX,RDU,Domestic,Domestic,322424.0
UA,PIT,Domestic,Domestic,321552.0
C5,IAD,Domestic,Domestic,321289.0
YX,MIA,International,Domestic,318998.0
AI,DEL,International,International,318727.0
BA,LAS,International,Domestic,316899.0
EV,CLE,Domestic,Domestic,315800.0
AA,CLE,Domestic,Domestic,315333.0
HX,HKG,International,International,314714.0
WN,PBI,Domestic,Domestic,314232.0
LH,JFK,International,Domestic,314155.0
AA,MAD,International,International,313534.0
DL,ANC,Domestic,Domestic,313421.0
CX,JFK,International,Domestic,312592.0
AZ,JFK,International,Domestic,311108.0
9E,RDU,Domestic,Domestic,310692.0
WN,MAF,Domestic,Domestic,310166.0
AX,ORD,Domestic,Domestic,308560.0
NK,SEA,Domestic,Domestic,308022.0
UA,MUC,International,International,306268.0
YX,MSP,Domestic,Domestic,305121.0
UA,CDG,International,International,303489.0
WN,IAD,Domestic,Domestic,303042.0
OO,SMF,Domestic,Domestic,302662.0
UA,PBI,Domestic,Domestic,300025.0
AA,CMH,Domestic,Domestic,299753.0
BR,LAX,International,Domestic,299369.0
DL,PUJ,International,International,299155.0
WN,BWI,International,Domestic,298298.0
VS,LGW,International,International,298031.0
UA,SJU,Domestic,Domestic,297471.0
AF,LAX,International,Domestic,296846.0
9E,BOS,Domestic,Domestic,296646.0
OO,ABQ,Domestic,Domestic,295692.0
UA,SJD,International,International,295603.0
QX,SEA,International,Domestic,295212.0
VS,SFO,International,Domestic,293714.0
AS,SMF,Domestic,Domestic,292497.0
UA,GRU,International,International,291129.0
UA,TLV,International,International,290196.0
WN,MBJ,International,International,289925.0
DL,GSO,Domestic,Domestic,289787.0
LH,LAX,International,Domestic,289780.0
F9,SAT,Domestic,Domestic,289761.0
YX,ATL,Domestic,Domestic,289479.0
DL,BUF,Domestic,Domestic,289145.0
BR,SFO,International,Domestic,288772.0
SU,JFK,International,Domestic,288607.0
WN,CVG,Domestic,Domestic,287980.0
AA,PVD,Domestic,Domestic,284911.0
LA,SCL,International,International,283612.0
CA,LAX,International,Domestic,283504.0
CM,MIA,International,Domestic,283057.0
UA,HKG,International,International,283010.0
CP,SFO,Domestic,Domestic,282479.0
B6,AUS,Domestic,Domestic,282463.0
MT,MAN,International,International,280848.0
AA,RIC,Domestic,Domestic,280722.0
DL,OMA,Domestic,Domestic,280639.0
YX,DEN,Domestic,Domestic,280631.0
DL,PVG,International,International,280410.0
WN,SJD,International,International,280208.0
CX,SFO,International,Domestic,280114.0
OO,ASE,Domestic,Domestic,279810.0
AA,NRT,International,International,279668.0
NK,PIT,Domestic,Domestic,279412.0
DL,HNL,International,Domestic,279025.0
AS,DEN,Domestic,Domestic,278390.0
LP,LIM,International,International,276797.0
UA,BDL,Domestic,Domestic,276459.0
TK,JFK,International,Domestic,275520.0
OZ,LAX,International,Domestic,275461.0
OO,OKC,Domestic,Domestic,274691.0
Y4,MEX,International,International,274645.0
OO,COS,Domestic,Domestic,274570.0
F9,SLC,Domestic,Domestic,274216.0
UA,AMS,International,International,274098.0
AS,KOA,Domestic,Domestic,273690.0
B6,RDU,Domestic,Domestic,273657.0
